"ISO";"COUNTRY";"YEAR";"DECILE 1 (MEAN INCOME)";"DECILE 2 (MEAN INCOME)";"DECILE 3 (MEAN INCOME)";"DECILE 4 (MEAN INCOME)";"DECILE 5 (MEAN INCOME)";"DECILE 6 (MEAN INCOME)";"DECILE 7 (MEAN INCOME)";"DECILE 8 (MEAN INCOME)";"DECILE 9 (MEAN INCOME)";"DECILE 10 (MEAN INCOME)"
"TGO";"Togo";"2020";"212.75";"400.22";"600.32";"810.97";"1008.97";"1301.76";"1708.29";"2308.62";"3344.97";"9381.92"
"THA";"Thailand";"2020";"4443.1";"6682.01";"8417.59";"10396.16";"12565.64";"14960.75";"17893.89";"21885.74";"27890.87";"47711.26"
"TJK";"Tajikistan";"2020";"849.75";"1494.38";"1926.58";"2336.8";"2765.34";"3230.5";"3805.55";"4552.74";"5783.41";"9830.69"
"TKM";"Turkmenistan";"2020";"2933.83";"5433.01";"7218.15";"8925.67";"10695.28";"12682.21";"15367.67";"19108.69";"25271.28";"47748.43"
"TLS";"Timor-Leste";"2020";"1414.37";"1887.13";"2233.83";"2572.65";"2950.86";"3348.78";"3837.3";"4538.58";"5688.98";"10787.0"
"TON";"Tonga";"2020";"1444.67";"2322.93";"3048.44";"3805.78";"4524.93";"5314.09";"6275.08";"7738.85";"10189.06";"18806.16"
"TTO";"Trinidad and Tobago";"2020";"4912.34";"8138.07";"10864.75";"13663.96";"16700.4";"20140.11";"24267.77";"29652.69";"37979.17";"70905.52"
"TUN";"Tunisia";"2020";"2475.4";"3851.76";"4878.9";"6008.75";"7159.14";"8432.79";"10035.12";"12541.34";"16177.4";"31040.06"
"TUR";"Turkiye";"2020";"5040.93";"9430.5";"12319.13";"15151.11";"18153.01";"21664.67";"25969.29";"32567.81";"43385.99";"100252.21"
"TUV";"Tuvalu";"2020";"967.85";"1564.47";"2024.09";"2567.67";"3089.16";"3650.42";"4406.14";"5351.89";"7071.04";"13417.3"
"TWN";"Taiwan";"2020";"16690.62";"24381.29";"29244.27";"33961.09";"38677.91";"44189.13";"50693.38";"59580.86";"74178.16";"124970.84"
"TZA";"Tanzania";"2020";"351.34";"610.23";"829.49";"1046.1";"1307.63";"1621.99";"2044.66";"2707.72";"3933.46";"11900.75"
"UGA";"Uganda";"2020";"238.92";"440.91";"642.91";"836.22";"1036.04";"1318.4";"1718.04";"2282.76";"3292.74";"9943.37"
"UKR";"Ukraine";"2020";"4124.02";"6235.71";"7639.37";"8819.43";"10036.76";"11415.57";"12993.14";"15067.57";"18508.39";"28930.22"
"URY";"Uruguay";"2020";"4837.46";"7448.1";"9735.31";"12066.61";"15023.9";"17247.15";"21694.53";"26724.25";"35013.33";"66293.65"
"USA";"United States";"2020";"10594.2";"20329.97";"27181.96";"33977.45";"41434.44";"49973.91";"60497.9";"74690.25";"97361.92";"185342.46"
"UZB";"Uzbekistan";"2020";"1650.99";"3023.14";"3903.67";"4659.46";"5407.91";"6288.43";"7352.41";"8812.61";"11432.18";"20787.79"
"VCT";"Saint Vincent and the Grenadines";"2020";"1498.11";"3329.08";"4676.56";"5971.73";"7317.18";"9189.09";"10958.89";"13937.64";"19342.96";"44222.43"
"VEN";"Venezuela";"2020";"1950.45";"2886.26";"3899.82";"4757.78";"5693.74";"6707.69";"7955.63";"9749.55";"12323.43";"21916.98"
"VGB";"British Virgin Islands";"2020";"4984.67";"11040.61";"14983.84";"18698.94";"23255.44";"28255.04";"34862.7";"44983.22";"63879.13";"150498.79"
"VNM";"Vietnam";"2020";"2084.28";"3256.66";"4273.16";"5240.97";"6167.77";"7110.98";"8275.64";"10030.82";"12680.01";"22883.04"
"VUT";"Vanuatu";"2020";"804.23";"1187.74";"1502.56";"1797.35";"2140.79";"2504.27";"2899.23";"3422.98";"4290.17";"7993.62"
"WSM";"Samoa";"2020";"1648.29";"2469.23";"3110.58";"3694.22";"4329.16";"5053.89";"5951.79";"7228.1";"9581.88";"21100.65"
"XKX";"Kosovo";"2020";"936.12";"3120.4";"4874.27";"6348.39";"7650.35";"9339.67";"11276.47";"14084.82";"17969.18";"32355.28"
"YEM";"Yemen";"2020";"602.49";"943.9";"1217.53";"1476.09";"1747.21";"2048.46";"2425.01";"2982.31";"3865.96";"7784.64"
"ZAF";"South Africa";"2020";"646.45";"1330.08";"1988.32";"2811.51";"3951.32";"5483.72";"8054.61";"12347.87";"21934.88";"68109.57"
"ZMB";"Zambia";"2020";"42.46";"263.08";"535.91";"802.23";"1175.74";"1630.45";"2286.53";"3299.88";"5290.85";"17451.03"
"ZWE";"Zimbabwe";"2020";"358.96";"637.4";"902.43";"1170.81";"1539.83";"1965.89";"2563.03";"3525.85";"5323.99";"15545.93"
